Name,Ranks,Level,Requirments,Description
Fear the Reaper:,1,2,Life giver not taken,"Every time you gain a level, you gain half you hit die less maximum hit points (minimum 2). You can take an additional perk this level and every other level after. You cannot take the Life Giver."
Life Giver,1,2,EN 6,"Your hit point maximum increases by an amount equal to twice your level when you gain this feat. Whenever you gain a level thereafter, your hit point maximum increases by an additional 2 hit pointsCannot be taken in conjunction with Fear the Reaper"
Bounty Hunter,4,2,,"Pick one enemy type Beasts, Humans, robots, Mutants You can reroll dmg once against them when rolling damage."
Survival Expert:,1,2,Survival 30,You have advantage on Survival checks.
Scoundrel,1,2,Barter 30,You have advantage on Persuasion checks against humanoids that would not be attracted to you.
Merchant Prince,1,2,Ch 6,You have advantage on Persuasion checks to sell items for more caps and to buy items for fewer caps
Tunnel Runner,1,2,AG 8,"You can take the dash, hide, help action as a bonus action"
Solar Powered,1,2,EN 7,"You regenerate 1 hit point at the end of each turn during initiative you spend in direct sunlight, and at the end of each minute you spend in direct sunlight outside of initiative."
Black Widow/Lady Killer,1,2,None,+1 damage to the opposite sex and advantage on seduction attempts for certain characters*
Cherchez La Femme/Confirmed Bachelor,1,2,None,+1 damage to the same sex and advantage on seduction attempts for certain characters*
Jump to Conclusions,1,2,Failed at least one speech check,"When you fail to convince someone, all your hits become critical for the next turn.."
Bound To Win:,1,2,None,"If you have more than triple advantage on an attack, and it lands, it counts as critical."
Friend of the Night,1,2,"PE 6, Sneak 30","Your eyes adapt quickly to low-light conditions, you see better than most in the dark"
Heavy Hitter:,1,2,Unarmed 30,Your unarmed strikes deal 1d6'+your Strength modifier.
Iron Fist:,1,2,Unarmed 30,Your unarmed strikes deal an additional 1d4 damage.
"Heave Ho!",1,2,ST 5 Explosives 30,All thrown weapons fly farther (50%)
Gunslinger,1,2,Guns 30,"While wielding a pistol in one hand and no weapon in the other, you have an extra '+2 to the attack."
The Kid:,1,2,Any weapons skill =>30,"When you engage in two-weapon fighting while wielding two weapons of the same type , you can add your proficiency bonus to the second weapon's attack rolls"
Commando,1,2,Guns 30,"While wielding a rifle, its ranges are increased by half."
Grunt:,1,2,Guns 30,"While wielding a submachine gun, each attack costs half as much ammunition."
Gun Nut:,1,2,Repair 30,You gain advantage on the Repair check to maintain a weapon's condition.
